Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/26/2021 3:59:00 PM ET,167.685,167.7,167.68,167.68,40071,167.65499499999981,167.61592000000005,167.5787000000001,167.60885899999985,61.50575676823108,0.0017251206882329603,40071,
8/26/2021 3:58:00 PM ET,167.68,167.705,167.675,167.69,21308,167.65149499999984,167.61332000000002,167.5764000000001,167.60890899999987,65.99407270673125,0.0030577431352060945,21308,
8/26/2021 3:57:00 PM ET,167.69,167.7,167.68,167.69,9344,167.64726999999985,167.61034,167.5742500000001,167.60895899999986,65.99407270673126,0.0036241151818630253,9344,
8/26/2021 3:56:00 PM ET,167.69,167.695,167.67,167.69,13579,167.64476999999982,167.60674,167.5721500000001,167.60880899999987,65.99407270673125,0.003949901130008503,13579,
8/26/2021 3:55:00 PM ET,167.68,167.699,167.67,167.695,13043,167.64176999999984,167.60314,167.56980000000013,167.60870899999983,67.9800067048173,0.0038777739423607183,13043,
8/26/2021 3:54:00 PM ET,167.67,167.68,167.66,167.68,6105,167.63876999999982,167.60004,167.56765000000013,167.60863399999982,65.05018396617088,0.002682099256915524,6105,
8/26/2021 3:53:00 PM ET,167.66,167.67,167.66,167.665,3199,167.6367699999998,167.59743999999998,167.56545000000014,167.60858449999986,61.804978620270276,0.0018443221244160528,3199,
8/26/2021 3:52:00 PM ET,167.66,167.67,167.66,167.66,1800,167.63501999999983,167.59533999999996,167.5635500000001,167.60870949999986,60.6747592649077,0.0016573759906861902,1800,
8/26/2021 3:51:00 PM ET,167.645,167.675,167.645,167.66,9204,167.63176999999982,167.59323999999998,167.56180000000012,167.60880949999984,60.674759264907685,0.001512961434805487,9204,
8/26/2021 3:50:00 PM ET,167.65,167.66,167.645,167.6499,8475,167.62826999999984,167.59063999999998,167.56000000000012,167.60880949999984,58.53783069017005,0.0009454182991195156,8475,
8/26/2021 3:49:00 PM ET,167.66,167.66,167.64,167.65,7980,167.62427499999984,167.588442,167.5585510000001,167.60885999999988,58.567090143412045,0.0007841253058064879,7980,
8/26/2021 3:48:00 PM ET,167.64,167.66,167.64,167.66,5172,167.62102499999986,167.58604,167.5570340000001,167.6089099999999,61.417704577952584,0.00024936833840757434,5172,
8/26/2021 3:47:00 PM ET,167.61,167.65,167.61,167.645,3813,167.61702499999984,167.58378000000002,167.55553400000008,167.60875999999985,58.61183430654705,-0.0018416569310451113,3813,
8/26/2021 3:46:00 PM ET,167.6,167.615,167.6,167.61,9249,167.61377499999986,167.58208,167.55408400000007,167.60838499999988,50.87053916350632,-0.003694390447814569,9249,
8/26/2021 3:45:00 PM ET,167.63,167.63,167.6,167.6,5783,167.61227499999984,167.58107999999996,167.55308400000004,167.60808499999987,48.30528212248233,-0.0029823177083491154,5783,
8/26/2021 3:44:00 PM ET,167.605,167.63,167.605,167.62,7733,167.61055499999983,167.57987999999997,167.55218400000004,167.60803499999986,53.49240222924476,-0.0007966570363488745,7733,
8/26/2021 3:43:00 PM ET,167.635,167.635,167.61,167.615,17724,167.60855499999985,167.57837999999995,167.55118400000006,167.60793499999986,52.3034231370226,0.0004918552438764982,17724,
8/26/2021 3:42:00 PM ET,167.655,167.66,167.64,167.64,2170,167.60680499999984,167.57737999999998,167.55063400000006,167.60780999999986,59.34775718079043,0.0027837991735848513,2170,
8/26/2021 3:41:00 PM ET,167.64,167.66,167.64,167.66,18898,167.60305499999984,167.575706,167.5500340000001,167.60755999999984,65.94558297161,0.003432225943526832,18898,
8/26/2021 3:40:00 PM ET,167.61,167.64,167.61,167.64,6354,167.59830499999984,167.573806,167.5491340000001,167.6073099999998,62.02541288538311,0.0019234775485156268,6354,
8/26/2021 3:39:00 PM ET,167.608,167.61,167.59,167.61,2502,167.59530499999985,167.572206,167.5485340000001,167.6070599999998,54.773928801658336,0.0011844485549477313,2502,
8/26/2021 3:38:00 PM ET,167.63,167.63,167.6055,167.6055,3613,167.59480499999984,167.571806,167.5481340000001,167.6069599999998,53.5381611947924,0.0027604578587755793,3613,
8/26/2021 3:37:00 PM ET,167.64,167.64,167.6399,167.64,7509,167.59502999999984,167.571096,167.54777900000008,167.6067324999998,66.46760611145041,0.005306137299111686,7509,
8/26/2021 3:36:00 PM ET,167.63,167.645,167.62,167.63,9611,167.59352999999984,167.569898,167.54707900000008,167.6062824999998,64.1364811762633,0.005225098932696981,9611,
8/26/2021 3:35:00 PM ET,167.64,167.64,167.63,167.635,1539,167.59177999999983,167.569198,167.54648900000007,167.6059824999998,66.27562580842137,0.0055102335916845935,1539,
8/26/2021 3:34:00 PM ET,167.62,167.64,167.62,167.64,7528,167.58877999999984,167.568498,167.54613900000007,167.60575749999978,68.39382717329038,0.0048474606750450264,7528,
8/26/2021 3:33:00 PM ET,167.6,167.63,167.6,167.63,6602,167.58527999999984,167.567498,167.5458810000001,167.6056074999998,66.39946069103524,0.0027478134378485543,6602,
8/26/2021 3:32:00 PM ET,167.59,167.6,167.59,167.595,6359,167.58277999999984,167.56647400000003,167.5456810000001,167.6055824999998,57.73109023140307,7.620525155815645E-05,6359,
8/26/2021 3:31:00 PM ET,167.57,167.59,167.565,167.59,8662,167.58102999999986,167.56617400000002,167.54595200000006,167.6059074999998,56.233295356670965,-0.0007290504427308088,8662,
8/26/2021 3:30:00 PM ET,167.585,167.585,167.56,167.57,7819,167.57902999999985,167.56517400000004,167.54635200000007,167.60631249999983,49.59986275552403,-0.0015435452567007409,7819,
8/26/2021 3:29:00 PM ET,167.59,167.59,167.58,167.585,1924,167.57752999999985,167.56457400000008,167.54703500000008,167.60673749999984,55.4531113743389,-0.0007800376469514906,1924,
8/26/2021 3:28:00 PM ET,167.58,167.585,167.57,167.58,3645,167.57577999999984,167.56297400000005,167.5476850000001,167.60741249999984,53.76427235174099,-0.0011320051531540616,3645,
8/26/2021 3:27:00 PM ET,167.58,167.58,167.57,167.58,4491,167.57382999999987,167.56137400000006,167.54828500000008,167.60821049999984,53.764272351740985,-0.0012006980852507267,4491,
8/26/2021 3:26:00 PM ET,167.57,167.58,167.57,167.58,2363,167.57032999999987,167.56038600000008,167.54888500000004,167.6090019999998,53.764272351740985,-0.001324901374893616,2363,
8/26/2021 3:25:00 PM ET,167.58,167.5855,167.5656,167.5656,740,167.56682999999987,167.55938600000007,167.54938500000003,167.6098019999998,49.33516787591309,-0.001531647180146296,740,
8/26/2021 3:24:00 PM ET,167.585,167.59,167.5707,167.58,7641,167.56554999999986,167.5584640000001,167.55005300000002,167.61054899999976,54.152079558598274,-0.0003914303547914808,7641,
8/26/2021 3:23:00 PM ET,167.57,167.585,167.57,167.58,4484,167.5640499999999,167.55738000000008,167.55065299999998,167.61119899999977,54.15207955859827,-0.0001354927293649756,4484,
8/26/2021 3:22:00 PM ET,167.57,167.58,167.565,167.565,4753,167.5630499999999,167.5563800000001,167.55137299999996,167.61174899999978,49.745001554963494,0.00015297036984987175,4753,
8/26/2021 3:21:00 PM ET,167.5704,167.5777,167.565,167.565,2360,167.56254999999987,167.55588000000012,167.55232299999997,167.61216799999977,49.745001554963494,0.001995980405843204,2360,
8/26/2021 3:20:00 PM ET,167.5999,167.6,167.565,167.58,9293,167.5607999999999,167.5555080000001,167.55327299999996,167.61269299999975,54.24058534388892,0.004638340289332816,9293,
8/26/2021 3:19:00 PM ET,167.6,167.6,167.59,167.6,4847,167.55879999999988,167.55450800000008,167.55397299999996,167.61331799999974,61.074164607099924,0.006815014531557981,4847,
8/26/2021 3:18:00 PM ET,167.61,167.61,167.59,167.61,1834,167.5552949999999,167.5533080000001,167.55457199999998,167.61386799999974,64.86856800338107,0.0075744351651228625,1834,
8/26/2021 3:17:00 PM ET,167.59,167.61,167.59,167.61,1618,167.55214499999988,167.5520080000001,167.55507299999996,167.61431799999974,64.86856800338107,0.0070521405957186,1618,
