Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/26/2021 3:59:00 PM ET,204.685,205.22,204.56,205.2,27894,204.45010000000016,204.55660999999992,206.6217009999998,208.68397350000006,56.07065450057809,0.08586388818678614,27894,
8/26/2021 3:58:00 PM ET,204.88,204.89,204.5,204.7,9365,204.37854500000017,204.5670099999999,206.6797009999998,208.73088300000006,50.99743346223073,0.08508090282524527,9365,
8/26/2021 3:57:00 PM ET,204.98,205.1,204.5606,204.805,7700,204.3561600000002,204.58981199999988,206.7424559999998,208.78548300000008,52.17234182323506,0.12651653185393696,7700,
8/26/2021 3:56:00 PM ET,205.3557,205.3557,204.28,204.85,10684,204.3249100000002,204.60551399999986,206.8029559999998,208.8193830000001,52.65510561974034,0.17055390087858358,10684,
8/26/2021 3:55:00 PM ET,204.94,205.44,204.5,205.14,8021,204.2924100000002,204.62911399999987,206.8644619999998,208.8497830000001,55.74166849192612,0.22162825342145195,8021,
8/26/2021 3:54:00 PM ET,205.27,205.7799,205,205.3099,12192,204.24266000000017,204.66051399999986,206.9269619999998,208.8796330000001,57.577785242798896,0.25533286164073554,12192,
8/26/2021 3:53:00 PM ET,204.8402,205.4299,204.81,205.4299,4339,204.19066500000017,204.69911599999986,206.9900129999998,208.91058350000012,58.84913066645504,0.2715401860141746,4339,
8/26/2021 3:52:00 PM ET,205.22,205.58,204.24,205.08,15665,204.08267000000018,204.73696999999984,207.05321399999983,208.9341840000001,56.232526048161056,0.2644850780738101,15665,
8/26/2021 3:51:00 PM ET,205.3,205.3,204.58,205,5928,203.98092000000017,204.78006999999988,207.12273199999981,208.9565070000001,55.63359798806417,0.26973766282781914,5928,
8/26/2021 3:50:00 PM ET,205.91,206.29,205.0914,205.31,11798,203.87492000000017,204.82574399999987,207.19493199999982,208.9768075000001,58.51481547411823,0.26766834139418083,11798,
8/26/2021 3:49:00 PM ET,203.95,205.85,203.66,205.72,22163,203.7474200000002,204.86056999999985,207.26913199999981,208.99625800000013,62.489311949807,0.21536209529133182,22163,
8/26/2021 3:48:00 PM ET,203.8511,203.995,203.71,203.95,4995,203.6374200000002,204.86077199999988,207.3339319999998,209.01747500000013,48.454270791656754,0.0780713448362147,4995,
8/26/2021 3:47:00 PM ET,203.36,203.9999,203.36,203.72,7120,203.60516500000023,204.90588199999988,207.4185319999998,209.04522500000013,46.017107092301245,0.03942095100373744,7120,
8/26/2021 3:46:00 PM ET,203.42,203.42,203,203.03,8003,203.67566500000024,204.97288199999988,207.5119319999998,209.07412500000012,37.82828508842805,0.004863236702757678,8003,
8/26/2021 3:45:00 PM ET,203.19,203.55,203,203.33,9019,203.77348500000022,205.06568199999987,207.6151819999998,209.10780000000014,40.29611930276134,0.026705200672164475,9019,
8/26/2021 3:44:00 PM ET,203.49,203.6538,203.01,203.0201,12089,203.87098500000022,205.14708199999987,207.71538199999978,209.1391300000001,36.310627347294805,0.035921189756250305,12089,
8/26/2021 3:43:00 PM ET,204.1871,204.1871,203.2135,203.55,5496,203.9819800000002,205.22429199999988,207.81958099999974,209.17250450000012,40.61548371659006,0.08641823691601225,5496,
8/26/2021 3:42:00 PM ET,204.145,204.145,203.7382,203.7382,728,204.0647300000002,205.2997919999999,207.92818099999974,209.20596900000007,42.268126249244474,0.11317765984231487,728,
8/26/2021 3:41:00 PM ET,203.82,204.3,203.5329,204.3,4428,204.11632000000017,205.37562799999992,208.03229899999977,209.23472800000008,47.641543308787256,0.13493224232198253,4428,
8/26/2021 3:40:00 PM ET,203.83,203.83,203.748,203.8189,966,204.20032000000018,205.44160799999995,208.12390199999976,209.26727850000006,41.75341959911536,0.109254637590122,966,
