Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/26/2021 3:59:00 PM ET,138.8,138.89,138.77,138.78,40977,138.84352500000048,138.88392600000006,138.86522300000001,138.98141799999993,39.8977248379242,-0.004707321170824513,40977,
8/26/2021 3:58:00 PM ET,138.85,138.85,138.8,138.8,18451,138.84752500000047,138.88372600000008,138.86612300000002,138.98391799999993,41.850773116881435,-0.0003152110739082295,18451,
8/26/2021 3:57:00 PM ET,138.87,138.87,138.82,138.8455,14595,138.85152500000046,138.88304800000006,138.866923,138.98641799999993,46.67770364507851,0.004800937038492227,14595,
8/26/2021 3:56:00 PM ET,138.89,138.89,138.845,138.88,9420,138.85600000000048,138.88253800000007,138.866968,138.98851549999992,50.803256232831096,0.008046849011398849,9420,
8/26/2021 3:55:00 PM ET,138.91,138.91,138.85,138.885,14383,138.86100000000047,138.88113800000008,138.86746800000003,138.9906904999999,51.41479925532331,0.00917486591327002,14383,
8/26/2021 3:54:00 PM ET,138.92,138.94,138.91,138.92,11854,138.86579000000046,138.87943800000005,138.86791800000003,138.99271549999992,55.77916165361716,0.00986243189822864,11854,
8/26/2021 3:53:00 PM ET,138.88,138.93,138.87,138.91,10612,138.86429000000047,138.87763600000005,138.86771800000002,138.99481549999993,54.76033736289138,0.006768590641230865,10612,
8/26/2021 3:52:00 PM ET,138.845,138.88,138.83,138.88,5413,138.86254000000048,138.87583600000005,138.86741800000001,138.99681549999994,51.65766044400095,0.0025181252147651184,5413,
8/26/2021 3:51:00 PM ET,138.88,138.88,138.81,138.845,6498,138.86354000000046,138.87389200000004,138.86716800000002,138.99906549999994,47.77762278281239,-0.0011612113349540529,6498,
8/26/2021 3:50:00 PM ET,138.815,138.9,138.815,138.89,11408,138.86879000000047,138.87219200000004,138.86731400000002,139.00129049999995,52.840984621418826,-0.0031033636645500726,11408,
8/26/2021 3:49:00 PM ET,138.815,138.83,138.805,138.81,12216,138.87579000000048,138.86908400000004,138.86661400000003,139.00294049999994,42.841209121785376,-0.010261160107564074,12216,
8/26/2021 3:48:00 PM ET,138.84,138.84,138.795,138.81,10151,138.88479000000046,138.86838400000002,138.86711400000004,139.00506549999994,42.84120912178537,-0.01242563982408789,10151,
8/26/2021 3:47:00 PM ET,138.775,138.86,138.775,138.84,8724,138.8932900000005,138.867784,138.86771400000006,139.00716549999993,45.99472832482347,-0.014625248314804556,8724,
8/26/2021 3:46:00 PM ET,138.79,138.805,138.77,138.775,3679,138.90029000000047,138.866384,138.86791400000004,139.00921549999993,36.60644250464035,-0.01979666551174996,3679,
8/26/2021 3:45:00 PM ET,138.803,138.805,138.76,138.78,7122,138.90804000000045,138.866484,138.86866400000005,139.01169049999993,37.06670554306532,-0.019657405336415877,7122,
8/26/2021 3:44:00 PM ET,138.81,138.825,138.8,138.805,6188,138.91704000000044,138.866484,138.87009800000004,139.01409049999992,39.364654287491874,-0.01825610862462128,6188,
8/26/2021 3:43:00 PM ET,138.85,138.855,138.8,138.81,5908,138.92554000000047,138.867184,138.87159800000006,139.01641499999994,39.82315212814537,-0.017066334455833852,5908,
8/26/2021 3:42:00 PM ET,138.89,138.92,138.85,138.86,3990,138.93504000000047,138.867396,138.87319800000006,139.0186429999999,44.652543125373555,-0.014343565487966448,3990,
8/26/2021 3:41:00 PM ET,138.86,138.89,138.82,138.89,12113,138.94054000000045,138.866534,138.87439800000004,139.02064249999992,47.88811494529543,-0.01404657307510393,12113,
8/26/2021 3:40:00 PM ET,138.865,138.9,138.855,138.855,5772,138.94154000000043,138.864134,138.87529800000004,139.02239249999994,43.44887964501237,-0.015660431042200634,5772,
8/26/2021 3:39:00 PM ET,138.88,138.885,138.84,138.86,5274,138.94529000000043,138.86283400000002,138.87674800000005,139.02436699999993,43.94547519510734,-0.01362088335126125,5274,
8/26/2021 3:38:00 PM ET,138.94,138.94,138.88,138.88,5016,138.94879000000043,138.86203400000002,138.87849800000004,139.02634199999994,45.89376349483791,-0.010052747643831336,5016,
8/26/2021 3:37:00 PM ET,138.98,138.98,138.93,138.935,4265,138.9507900000004,138.86043400000003,138.88047700000004,139.02854199999993,51.752719606556376,-0.005921048345090114,4265,
8/26/2021 3:36:00 PM ET,138.985,139,138.975,138.98,9370,138.94804000000042,138.859034,138.88175400000006,139.0301169999999,57.31141453946454,-0.004835961067613449,9370,
8/26/2021 3:35:00 PM ET,138.9,138.9808,138.89,138.9808,5007,138.94154000000043,138.857434,138.88250400000007,139.03141699999992,57.41321372665792,-0.007705706808437782,5007,
8/26/2021 3:34:00 PM ET,138.88,138.895,138.88,138.89,4023,138.93200000000041,138.85561800000002,138.88319600000005,139.03270299999994,47.604603078359226,-0.012162415443111772,4023,
8/26/2021 3:33:00 PM ET,138.91,138.915,138.875,138.875,4373,138.92950000000044,138.855018,138.88479600000005,139.03405299999994,45.68563357683593,-0.009479783633757712,4373,
8/26/2021 3:32:00 PM ET,138.96,138.98,138.9,138.9,3574,138.92675000000045,138.855118,138.88662500000007,139.0357869999999,48.43074618445126,-0.00339306937799759,3574,
8/26/2021 3:31:00 PM ET,139.025,139.025,138.95,138.95,3919,138.92425000000043,138.85481800000002,138.88827500000008,139.03713699999992,54.5139674762635,0.0035084338299111242,3919,
8/26/2021 3:30:00 PM ET,138.98,139.04,138.97,139.03,4717,138.91575000000046,138.85401800000002,138.88962500000005,139.03848699999992,67.02115502435475,0.008574886163637496,4717,
8/26/2021 3:29:00 PM ET,138.9857,139,138.98,138.99,4546,138.90225000000046,138.85161800000003,138.89027500000003,139.03936299999992,63.08938128561328,0.007248071075906595,4546,
8/26/2021 3:28:00 PM ET,138.97,138.98,138.95,138.98,3565,138.89125000000047,138.84981800000003,138.89157500000005,139.0403629999999,62.03875353988943,0.00808142163189269,3565,
8/26/2021 3:27:00 PM ET,138.925,139,138.925,138.98,3336,138.88055500000047,138.848238,138.89327500000005,139.0413629999999,62.03875353988941,0.009263331040473888,3336,
