Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/26/2021 3:59:00 PM ET,220.23,220.32,220.19,220.24,429993,220.27967499999986,220.3090699999999,220.43904399999997,220.86809150000008,46.81638289605865,-0.003155592284241046,429993,
8/26/2021 3:58:00 PM ET,220.22,220.279,220.18,220.23,99724,220.27767499999987,220.30326999999994,220.44394399999993,220.87508950000012,46.22553083804482,-0.0015115714172319033,99724,
8/26/2021 3:57:00 PM ET,220.34,220.345,220.16,220.23,98989,220.2796749999999,220.29426999999995,220.44914399999993,220.8822395000001,46.22553083804482,0.0024343051461126752,98989,
8/26/2021 3:56:00 PM ET,220.33,220.37,220.26,220.35,125079,220.29017499999992,220.28706999999997,220.45404399999995,220.88903950000008,52.2293465516354,0.00869899063454891,125079,
8/26/2021 3:55:00 PM ET,220.27,220.355,220.21,220.335,158714,220.3006749999999,220.27826999999996,220.45814399999995,220.89538950000008,51.49815864063317,0.005929945049446189,158714,
8/26/2021 3:54:00 PM ET,220.31,220.4,220.27,220.27,85251,220.30567499999992,220.27137,220.46329399999996,220.9022150000001,48.31491039651165,0.0027566723028812842,85251,
8/26/2021 3:53:00 PM ET,220.28,220.33,220.21,220.31,112910,220.3081749999999,220.26657,220.46869399999997,220.90916500000014,50.19750299554768,0.004316347014919317,112910,
8/26/2021 3:52:00 PM ET,220.3,220.305,220.17,220.28,57267,220.30417499999984,220.26077,220.47459399999997,220.91526500000015,48.808347380498596,0.002615893913878172,57267,
8/26/2021 3:51:00 PM ET,220.4,220.4,220.23,220.2885,50512,220.30517499999988,220.25507000000002,220.48119399999996,220.92191500000015,49.16917995206754,0.002999243323174052,50512,
8/26/2021 3:50:00 PM ET,220.27,220.47,220.25,220.405,210704,220.30674999999988,220.2511,220.48850899999996,220.92782250000016,54.27588611217521,0.0027646553102833905,210704,
8/26/2021 3:49:00 PM ET,220.28,220.34,220.2517,220.26,42544,220.31049999999988,220.2466,220.493259,220.93299750000017,48.038755451062194,-0.009421660980195552,42544,
8/26/2021 3:48:00 PM ET,220.31,220.36,220.22,220.29,39132,220.31749999999982,220.24739999999997,220.49895900000004,220.93989750000014,49.331560278652276,-0.01302168945913813,39132,
8/26/2021 3:47:00 PM ET,220.11,220.34,220.11,220.31,54020,220.32449999999986,220.24959999999996,220.50505900000005,220.94654750000015,50.16732927515222,-0.02047403513314583,54020,
8/26/2021 3:46:00 PM ET,220.12,220.17,220.08,220.11,96793,220.33049999999986,220.25179999999997,220.511359,220.95334750000018,40.86424723025852,-0.03247846047371261,96793,
8/26/2021 3:45:00 PM ET,220.17,220.23,220.01,220.13,61669,220.33974999999987,220.25919999999994,220.519159,220.96129750000014,41.58513240294048,-0.02841596656334131,61669,
8/26/2021 3:44:00 PM ET,220.19,220.22,220.14,220.18,63533,220.35324999999983,220.26609999999997,220.528159,220.96859750000013,43.36085768992124,-0.02157730901318222,63533,
8/26/2021 3:43:00 PM ET,220.42,220.43,220.21,220.21,52954,220.36924999999982,220.27429999999995,220.53655899999998,220.97575900000015,44.41757569880305,-0.014039245256736577,52954,
8/26/2021 3:42:00 PM ET,220.42,220.4916,220.39,220.415,31341,220.38374999999982,220.27949999999998,220.545959,220.98293400000014,52.54251277443323,-0.00405786623628719,31341,
