Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/26/2021 3:59:00 PM ET,148.26,148.56,148.25,148.54,988664,148.34825500000062,148.38194000000004,148.3826969999999,148.3126215000001,69.88177945849525,0.009669893046407321,988664,
8/26/2021 3:58:00 PM ET,148.2601,148.27,148.23,148.2501,144638,148.33933500000063,148.37990200000004,148.38049699999988,148.3101640000001,28.36526270847195,-0.008552478845530075,144638,
8/26/2021 3:57:00 PM ET,148.285,148.29,148.265,148.27,135442,148.34533000000062,148.38290000000003,148.38139599999988,148.3090635000001,31.097629942353866,-0.007076962909955659,135442,
8/26/2021 3:56:00 PM ET,148.315,148.315,148.28,148.285,155560,148.3505800000006,148.38534000000004,148.3817959999999,148.3079135000001,33.34589847136599,-0.005872141741787941,155560,
8/26/2021 3:55:00 PM ET,148.32,148.3201,148.31,148.31,91072,148.3568300000006,148.38764000000003,148.3816459999999,148.3066885000001,37.546967560125104,-0.00472679395172651,91072,
8/26/2021 3:54:00 PM ET,148.31,148.33,148.31,148.32,49526,148.3623300000006,148.39014200000003,148.3813459999999,148.3053385000001,39.39020351290999,-0.00481166101826553,49526,
8/26/2021 3:53:00 PM ET,148.325,148.33,148.3101,148.315,42561,148.3680800000006,148.392342,148.3811459999999,148.30388850000008,37.97653557857835,-0.0053420976111334065,42561,
8/26/2021 3:52:00 PM ET,148.35,148.355,148.32,148.33,65960,148.3738300000006,148.39484200000004,148.3807959999999,148.30246350000007,40.61549624179501,-0.0050292805642647796,65960,
8/26/2021 3:51:00 PM ET,148.33,148.36,148.33,148.35,42560,148.3770800000006,148.39684200000002,148.3803959999999,148.3007685000001,44.43875324137165,-0.005453042991043693,42560,
8/26/2021 3:50:00 PM ET,148.31,148.3301,148.29,148.33,93917,148.3795800000006,148.39784200000003,148.3793959999999,148.2991185000001,39.11702207699997,-0.0075439217407790235,93917,
8/26/2021 3:49:00 PM ET,148.33,148.33,148.3,148.305,51078,148.3830800000006,148.39884200000003,148.3786959999999,148.29761850000008,31.501743474554722,-0.008066837284836424,51078,
8/26/2021 3:48:00 PM ET,148.325,148.355,148.325,148.33,80352,148.38783000000063,148.39934200000002,148.3781459999999,148.29619350000007,35.641353334971186,-0.0055627455843189465,80352,
8/26/2021 3:47:00 PM ET,148.39,148.39,148.32,148.33,88366,148.39133000000064,148.39874200000003,148.3774459999999,148.29444350000006,35.64135333497118,-0.0035588775850138536,88366,
8/26/2021 3:46:00 PM ET,148.37,148.39,148.36,148.39,67936,148.39483000000064,148.39854200000002,148.3767959999999,148.29269350000007,48.95359898344651,4.5363834668674975E-06,67936,
8/26/2021 3:45:00 PM ET,148.4,148.41,148.37,148.38,31697,148.39508000000063,148.397842,148.3759959999999,148.29064350000007,45.82186202269893,-0.00036392821127734405,31697,
8/26/2021 3:44:00 PM ET,148.4,148.42,148.393,148.405,33201,148.39600500000066,148.397242,148.37514599999992,148.28879350000005,53.43168073409975,0.00015257993015875288,33201,
8/26/2021 3:43:00 PM ET,148.38,148.4,148.375,148.4,25760,148.39550500000064,148.396342,148.3735959999999,148.28681850000004,51.94969846680666,-0.0015271367555558316,25760,
8/26/2021 3:42:00 PM ET,148.37,148.39,148.37,148.38,27518,148.39550500000064,148.396542,148.3720959999999,148.28467850000004,45.508670994919946,-0.003515244638393542,27518,
8/26/2021 3:41:00 PM ET,148.36,148.4,148.36,148.375,34526,148.39550500000064,148.396942,148.37109599999994,148.28262850000004,43.758538380433535,-0.00430737904192249,34526,
8/26/2021 3:40:00 PM ET,148.37,148.37,148.36,148.37,7603,148.39525500000065,148.397642,148.36964599999993,148.28055350000005,42.02965885660468,-0.004665196315678969,7603,
8/26/2021 3:39:00 PM ET,148.365,148.39,148.36,148.3616,14922,148.39525500000065,148.398642,148.3681459999999,148.27835350000004,39.109670960320685,-0.004315817011441574,14922,
