Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/23/2021 12:16:00 PM ET,47.57,47.58,47.55,47.55,6552,47.602095000000006,47.572010000000034,47.53843499999998,47.193288,41.76502299089182,-0.01125072107506776,6552,
8/23/2021 12:15:00 PM ET,47.55,47.575,47.55,47.57,17044,47.599594999999994,47.57381000000003,47.535934999999974,47.18494100000001,45.67860141302159,-0.010277712621240482,17044,
8/23/2021 12:14:00 PM ET,47.55,47.57,47.5437,47.56,36930,47.59784499999999,47.57521000000003,47.533534999999986,47.17646600000001,43.20781493810904,-0.010115183693408268,36930,
8/23/2021 12:13:00 PM ET,47.57,47.5799,47.55,47.55,14075,47.597595,47.57761000000002,47.53093499999997,47.16794400000001,40.70338136187375,-0.008242159383732517,14075,
8/23/2021 12:12:00 PM ET,47.591,47.6,47.56,47.57,16709,47.59684499999999,47.579818000000024,47.52833499999997,47.159419000000014,44.33420520445811,-0.003833552870542545,16709,
8/23/2021 12:11:00 PM ET,47.62,47.62,47.59,47.5999,21481,47.59484499999999,47.581218000000014,47.52533499999998,47.15084350000001,50.60009136011099,0.001167223033939322,21481,
8/23/2021 12:10:00 PM ET,47.65,47.66,47.621,47.621,22441,47.59134999999999,47.58182000000001,47.52203599999998,47.14194400000001,55.76459658586962,0.005672591381183752,22441,
8/23/2021 12:09:00 PM ET,47.66,47.668,47.64,47.65,47364,47.58704999999999,47.581800000000015,47.518425999999984,47.13296400000001,64.1163368917105,0.009910991311353378,47364,
8/23/2021 12:08:00 PM ET,47.665,47.67,47.65,47.66,21687,47.58147999999999,47.580334,47.515275999999986,47.12371400000002,67.34592438048125,0.012585234877883461,21687,
8/23/2021 12:07:00 PM ET,47.68,47.68,47.66,47.66,14706,47.57522999999999,47.57873400000001,47.51217599999998,47.11448900000001,67.34592438048126,0.014510859479791732,14706,
8/23/2021 12:06:00 PM ET,47.655,47.68,47.655,47.68,13052,47.568979999999996,47.576734000000016,47.50917599999999,47.10533900000002,73.75233474121126,0.016144990621013287,13052,
8/23/2021 12:05:00 PM ET,47.64,47.66,47.64,47.66,37502,47.56173,47.57493400000002,47.50587599999998,47.096139000000015,71.20917999814765,0.015193787534437118,37502,
8/23/2021 12:04:00 PM ET,47.63,47.655,47.62,47.65,111819,47.55372999999999,47.57353600000002,47.503369999999975,47.087089000000006,69.85301898191996,0.014328792699362684,111819,
8/23/2021 12:03:00 PM ET,47.625,47.64,47.62,47.625,36052,47.54647999999999,47.572138000000024,47.50076999999998,47.07806400000001,66.15176799516487,0.012710752551886492,36052,
8/23/2021 12:02:00 PM ET,47.62,47.64,47.62,47.621,38350,47.54072999999998,47.571638000000014,47.49876999999998,47.069139000000014,65.5228834162245,0.011605967259947832,38350,
8/23/2021 12:01:00 PM ET,47.585,47.615,47.58,47.61,26865,47.535679999999985,47.57071800000001,47.496359999999974,47.06023400000003,63.805673172933055,0.009320496084861194,26865,
8/23/2021 12:00:00 PM ET,47.54,47.6,47.54,47.585,61045,47.53017999999999,47.569718,47.49425999999998,47.051334000000026,59.554318578424116,0.006097373539072425,61045,
8/23/2021 11:59:00 AM ET,47.55,47.5661,47.51,47.54,76487,47.52667999999998,47.569818,47.492359999999984,47.042509000000024,49.674110028781804,0.0031071883596255605,76487,
8/23/2021 11:58:00 AM ET,47.54,47.55,47.53,47.545,61055,47.52567999999998,47.569218,47.49055999999999,47.03375900000002,50.958459019108545,0.0027972682788811633,61055,
8/23/2021 11:57:00 AM ET,47.5,47.54,47.49,47.535,105792,47.525179999999985,47.568118000000005,47.48955999999998,47.02503400000001,48.48483696319079,0.0017098996973260762,105792,
8/23/2021 11:56:00 AM ET,47.535,47.54,47.495,47.5,54707,47.525429999999986,47.566818000000005,47.48845999999999,47.01635900000002,38.384313298032076,0.0010105355373149598,54707,
8/23/2021 11:55:00 AM ET,47.56,47.58,47.535,47.535,39019,47.52742999999999,47.567018,47.48800999999999,47.00785900000002,46.92826119750672,0.0035403794330433874,39019,
8/23/2021 11:54:00 AM ET,47.54,47.56,47.54,47.555,29798,47.52867999999998,47.567218,47.48726,46.999284000000024,53.21320667686239,0.0038870930029249913,29798,
8/23/2021 11:53:00 AM ET,47.53,47.55,47.525,47.535,37894,47.529429999999984,47.568118000000005,47.48592299999999,46.99060900000002,46.56843149598925,0.002261870343204757,37894,
8/23/2021 11:52:00 AM ET,47.53,47.55,47.525,47.53,33626,47.532679999999985,47.56843,47.484272999999995,46.98208400000003,44.74675989911913,0.0017133029323520878,33626,
8/23/2021 11:51:00 AM ET,47.53,47.545,47.52,47.53,40232,47.53792999999999,47.570029999999996,47.482552999999996,46.973834000000025,44.74675989911913,0.0014093224714373347,40232,
8/23/2021 11:50:00 AM ET,47.535,47.54,47.515,47.535,52897,47.54392999999999,47.57102999999999,47.480303000000006,46.965409000000015,46.102020318138976,0.0010181324753234626,52897,
8/23/2021 11:49:00 AM ET,47.53,47.55,47.525,47.5386,30478,47.54917999999999,47.57253,47.477853,46.956834000000015,47.05484572287077,1.6555238534872105E-05,30478,
8/23/2021 11:48:00 AM ET,47.54,47.55,47.525,47.535,42553,47.55349999999999,47.573658,47.474767000000014,46.94819100000002,46.01886737304249,-0.0017288510634461476,42553,
8/23/2021 11:47:00 AM ET,47.535,47.54,47.53,47.535,25601,47.557249999999996,47.574558,47.471917000000005,46.93951600000002,46.01886737304249,-0.003781872282397892,25601,
8/23/2021 11:46:00 AM ET,47.5,47.54,47.49,47.535,41242,47.561499999999995,47.574858000000006,47.469867000000015,46.930841000000015,46.01886737304249,-0.006526804075353984,41242,
8/23/2021 11:45:00 AM ET,47.505,47.51,47.495,47.5,48222,47.56674999999999,47.57495800000002,47.468317000000006,46.92224100000002,36.319526068640904,-0.010159823887894947,48222,
8/23/2021 11:44:00 AM ET,47.51,47.54,47.495,47.505,97690,47.57374999999999,47.575658000000004,47.46711700000001,46.91389050000002,37.20634411904567,-0.011365992671276344,97690,
8/23/2021 11:43:00 AM ET,47.52,47.525,47.5,47.51,59762,47.582499999999996,47.575958,47.46576700000001,46.90534050000003,38.069495133730804,-0.012709023464940277,59762,
8/23/2021 11:42:00 AM ET,47.51,47.53,47.5,47.52,74456,47.590019999999996,47.57595799999999,47.46517200000001,46.896740500000035,39.78352489722884,-0.014199416045619117,74456,
8/23/2021 11:41:00 AM ET,47.52,47.52,47.5,47.5,116309,47.596019999999996,47.576057999999996,47.464672,46.88819050000002,34.28907614369609,-0.016355572183222283,116309,
8/23/2021 11:40:00 AM ET,47.52,47.565,47.51,47.515,56474,47.60252,47.57615800000002,47.46382200000008,46.8796904999999,36.61585184460511,-0.01639067954077842,56474,
8/23/2021 11:39:00 AM ET,47.53,47.54,47.515,47.52,62720,47.60777,47.57505800000003,47.46277200000008,46.8711154999999,37.401414491506685,-0.016661924900942676,62720,
8/23/2021 11:38:00 AM ET,47.535,47.555,47.53,47.535,33793,47.610605,47.57286000000003,47.461822000000076,46.8623404999999,39.77880186630707,-0.016328652387995475,33793,
8/23/2021 11:37:00 AM ET,47.54,47.55,47.515,47.54,46719,47.612855,47.56956000000003,47.461172000000076,46.8535404999999,40.57714102331055,-0.016137543423682673,46719,
8/23/2021 11:36:00 AM ET,47.56,47.5766,47.54,47.54,64245,47.61385500000001,47.56496000000003,47.460122000000084,46.8447724999999,40.57714102331055,-0.015230428697667796,64245,
8/23/2021 11:35:00 AM ET,47.57,47.58,47.56,47.56,62098,47.61635500000001,47.56086000000003,47.459272000000084,46.8360224999999,43.59473198032708,-0.012806418168650018,62098,
8/23/2021 11:34:00 AM ET,47.61,47.61,47.56,47.57,145261,47.617860000000015,47.55626000000003,47.458572000000075,46.827146999999904,45.15377578702973,-0.010256751775243367,145261,
8/23/2021 11:33:00 AM ET,47.64,47.64,47.5901,47.6,15171,47.61836500000001,47.55066000000002,47.45767200000007,46.8182969999999,50.149870892968785,-0.00674823896264878,15171,
8/23/2021 11:32:00 AM ET,47.65,47.67,47.62,47.635,20835,47.61836500000001,47.544560000000025,47.455972000000074,46.8093219999999,56.97986175023204,-0.00407703044111643,20835,
8/23/2021 11:31:00 AM ET,47.64,47.66,47.6301,47.65,19557,47.61536500000001,47.53666000000002,47.45357200000008,46.8003469999999,60.245065728001,-0.003498742983813065,19557,
8/23/2021 11:30:00 AM ET,47.63,47.645,47.61,47.64,46561,47.61086500000001,47.529060000000015,47.450972000000085,46.7910969999999,58.78292158895532,-0.004286443740641813,46561,
8/23/2021 11:29:00 AM ET,47.62,47.645,47.6138,47.625,26096,47.60836500000001,47.52236000000002,47.448372000000084,46.7819469999999,56.55745551452165,-0.004654904332134405,26096,
8/23/2021 11:28:00 AM ET,47.615,47.625,47.59,47.61,82128,47.602615000000014,47.51626000000002,47.445322000000075,46.7727969999999,54.26440610222861,-0.003830165751243897,82128,
8/23/2021 11:27:00 AM ET,47.65,47.655,47.62,47.62,32805,47.596615000000014,47.51086000000002,47.44162200000008,46.7638469999999,56.097417148709695,-0.0011876371878282305,32805,
8/23/2021 11:26:00 AM ET,47.64,47.66,47.625,47.64,46968,47.589115000000014,47.50486000000003,47.43797200000008,46.75479699999989,59.85211359671128,0.0015746987651225758,46968,
8/23/2021 11:25:00 AM ET,47.68,47.68,47.635,47.64,68394,47.58261500000002,47.49806000000003,47.43317200000008,46.74569699999989,59.85211359671128,0.003274649729167467,68394,
8/23/2021 11:24:00 AM ET,47.67,47.69,47.665,47.68,37411,47.57786500000002,47.49186000000003,47.428372000000074,46.73659699999989,67.66185177387652,0.00517952583035073,37411,
8/23/2021 11:23:00 AM ET,47.64,47.6698,47.635,47.6604,116286,47.57386500000002,47.48426000000004,47.424022000000065,46.72725049999989,65.62074941338054,0.0031912143072352975,116286,
8/23/2021 11:22:00 AM ET,47.64,47.65,47.63,47.64,56595,47.56837500000002,47.47685200000004,47.41926800000007,46.71809849999989,63.3873290978867,0.001244992313948895,56595,
8/23/2021 11:21:00 AM ET,47.615,47.64,47.605,47.63,44719,47.566875000000024,47.46945200000004,47.41531800000007,46.70927349999989,62.271682503453164,-0.00037824385620006257,44719,
8/23/2021 11:20:00 AM ET,47.575,47.62,47.57,47.62,50540,47.56437500000003,47.462252000000035,47.411318000000065,46.7004234999999,61.17307243654837,-0.0024047911022385057,50540,
8/23/2021 11:19:00 AM ET,47.58,47.58,47.55,47.5767,50212,47.563875000000024,47.455052000000045,47.406418000000066,46.691748499999896,56.02445558517064,-0.00490668522733529,50212,
8/23/2021 11:18:00 AM ET,47.56,47.58,47.56,47.58,56601,47.56479000000003,47.45021800000004,47.40110100000007,46.6831899999999,56.55518275165847,-0.004575923604851796,56601,
8/23/2021 11:17:00 AM ET,47.58,47.59,47.56,47.56,29275,47.56479000000003,47.44561800000004,47.39627100000007,46.67468999999989,54.10862116557708,-0.004516021957988947,29275,
8/23/2021 11:16:00 AM ET,47.595,47.595,47.57,47.59,28397,47.56429000000003,47.44161800000004,47.39162100000007,46.666189999999894,58.71401221247336,-0.0025375511321434896,28397,
8/23/2021 11:15:00 AM ET,47.59,47.605,47.59,47.5901,64903,47.56179000000002,47.43681800000004,47.387371000000066,46.6577894999999,58.72948434920967,-0.002770893483307668,64903,
8/23/2021 11:14:00 AM ET,47.595,47.605,47.57,47.5801,64795,47.55903500000002,47.43320400000004,47.38296800000006,46.6493884999999,57.6942876834909,-0.0034784311379857796,64795,
8/23/2021 11:13:00 AM ET,47.575,47.6,47.57,47.6,94353,47.55603000000002,47.42940200000004,47.37869600000006,46.640737999999914,60.49839896028265,-0.003865062308466033,94353,
8/23/2021 11:12:00 AM ET,47.57,47.58,47.53,47.575,29701,47.55153000000002,47.42590200000004,47.374596000000054,46.631966499999905,58.12413808400538,-0.006764377821766802,29701,
8/23/2021 11:11:00 AM ET,47.59,47.62,47.55,47.56,49560,47.549030000000016,47.42200200000005,47.37109600000006,46.6234914999999,56.67324134445085,-0.00887249719292832,49560,
8/23/2021 11:10:00 AM ET,47.52,47.59,47.519800000000004,47.59,288684,47.54628000000002,47.41880200000005,47.368396000000054,46.6151664999999,60.57069169236979,-0.010584763200167921,288684,
8/23/2021 11:09:00 AM ET,47.49,47.525,47.49,47.51,123565,47.53978000000002,47.41490200000005,47.36314600000005,46.6068664999999,52.47826270655022,-0.016136337264153304,123565,
8/23/2021 11:08:00 AM ET,47.47,47.5,47.47,47.49,81466,47.534785000000014,47.41190200000005,47.34694600000005,46.5991164999999,50.10082912288743,-0.016187529399525682,81466,
8/23/2021 11:07:00 AM ET,47.51,47.51,47.4601,47.47,55716,47.52878500000001,47.41100200000005,47.330746000000055,46.5914169999999,47.66983737193694,-0.013626599160233566,55716,
8/23/2021 11:06:00 AM ET,47.55,47.55,47.49,47.51,77370,47.52078500000001,47.41010200000006,47.31474600000005,46.5837919999999,52.41187702630607,-0.007171197041004378,77370,
8/23/2021 11:05:00 AM ET,47.6,47.62,47.545,47.545,50178,47.51203500000001,47.40900200000006,47.29829600000004,46.575866999999896,57.020554509214136,-0.0012008905966293393,50178,
8/23/2021 11:04:00 AM ET,47.555,47.6,47.555,47.6,102841,47.50128500000002,47.40730200000005,47.28134600000005,46.5676914999999,65.4137117261278,0.003979146856466331,102841,
8/23/2021 11:03:00 AM ET,47.62,47.62,47.535,47.5506,64364,47.485785000000014,47.40372800000006,47.264146000000046,46.5592914999999,60.573533493810814,0.005424376047955724,64364,
8/23/2021 11:02:00 AM ET,47.58,47.615,47.58,47.61,60406,47.473005000000015,47.400116000000054,47.24714000000005,46.551053499999895,71.79122749098174,0.011434302514630526,60406,
8/23/2021 11:01:00 AM ET,47.61,47.615,47.58,47.58,117460,47.45450500000001,47.39507600000005,47.229540000000064,46.542478499999895,69.10827510522672,0.013166254424207144,117460,
8/23/2021 11:00:00 AM ET,47.6,47.63,47.6,47.61,131944,47.43900500000001,47.389576000000055,47.21279000000006,46.5340534999999,75.80296198837601,0.017072162958027624,131944,
8/23/2021 10:59:00 AM ET,47.5899,47.6,47.575,47.595,85182,47.42375500000001,47.38317600000005,47.19584000000006,46.52545349999989,74.66341121595491,0.018058630862882515,85182,
8/23/2021 10:58:00 AM ET,47.55,47.59,47.54,47.58,55590,47.410005000000005,47.375876000000055,47.17898900000006,46.5169039999999,73.5047546271892,0.018948658132058108,55590,
8/23/2021 10:57:00 AM ET,47.54,47.57,47.54,47.55,48397,47.398005000000005,47.369276000000056,47.162639000000055,46.508528999999896,71.0457198105235,0.019676047854943764,48397,
8/23/2021 10:56:00 AM ET,47.54,47.55,47.5281,47.54,156907,47.386505000000014,47.36487600000005,47.146389000000056,46.5003284999999,70.1893481917282,0.021679297472623427,156907,
8/23/2021 10:55:00 AM ET,47.52,47.54,47.51,47.535,19368,47.37450500000001,47.36167600000005,47.130289000000055,46.4921534999999,69.77428773678812,0.02358576467389134,19368,
8/23/2021 10:54:00 AM ET,47.51,47.52,47.485,47.52,15712,47.364255000000014,47.358576000000056,47.11423900000006,46.48402799999991,68.55464404942776,0.024748112844783857,15712,
8/23/2021 10:53:00 AM ET,47.53,47.53,47.5028,47.51,32386,47.35325500000001,47.355576000000056,47.098189000000055,46.47597749999991,67.74903716108327,0.025729986587182833,32386,
8/23/2021 10:52:00 AM ET,47.5,47.5266,47.5,47.525,57710,47.34225500000001,47.35438600000005,47.08198800000005,46.46795249999991,70.25605240821626,0.025922703461464545,57710,
8/23/2021 10:51:00 AM ET,47.4594,47.52,47.45,47.505,63311,47.32950500000001,47.35328600000005,47.06558000000006,46.45990249999991,68.82790204963827,0.022388347326995794,63311,
8/23/2021 10:50:00 AM ET,47.42,47.46,47.41,47.46,45773,47.31775500000001,47.351486000000044,47.04923000000006,46.45157749999992,65.35214409515467,0.016861117054205982,45773,
8/23/2021 10:49:00 AM ET,47.37,47.43,47.37,47.4101,133213,47.30775500000001,47.35048600000004,47.03368000000006,46.443327499999924,60.858200354860436,0.011243490837477103,133213,
8/23/2021 10:48:00 AM ET,47.31,47.37,47.31,47.37,33543,47.30400000000001,47.35078400000004,47.01837900000006,46.43500199999993,56.66389243169565,0.006511702073956646,33543,
8/23/2021 10:47:00 AM ET,47.34,47.345,47.31,47.31,40266,47.30300000000001,47.352784000000035,47.00342900000006,46.42700199999993,49.0833242696867,0.0026320435467933716,40266,
8/23/2021 10:46:00 AM ET,47.335,47.35,47.33,47.335,48114,47.30550000000001,47.35528400000004,46.98922900000006,46.419401999999934,52.646396106922346,0.0024862613446994114,48114,
8/23/2021 10:45:00 AM ET,47.29,47.345,47.29,47.33,72547,47.306250000000006,47.357684000000035,46.97477900000006,46.41182699999994,51.999277788279684,-0.00033507259620848065,72547,
