Date,Open,High,Low,Close,Volume,"SMA(20)","SMA(50)","SMA(100)","SMA(200)","RSI(14)","MACDh(12,26,9)","Up","Down"
8/24/2021 3:59:00 PM ET,48.38,48.4299,48.38,48.41,486116,48.40275000000001,48.47171600000004,48.467023,48.40590099999994,49.262078838455345,0.004859320788297698,486116,
8/24/2021 3:58:00 PM ET,48.385,48.39,48.36,48.385,368309,48.40225000000001,48.47271600000005,48.467073,48.40520099999994,42.400367528805816,0.0018216951151921457,368309,
8/24/2021 3:57:00 PM ET,48.38,48.39,48.38,48.38,141541,48.40250000000001,48.47481600000004,48.467372999999995,48.40450549999994,40.91644333386881,-0.0001930440769964993,141541,
8/24/2021 3:56:00 PM ET,48.35,48.4,48.35,48.385,185814,48.40600000000001,48.477216000000034,48.467572999999994,48.40380999999995,41.9192585443472,-0.00243704821449562,185814,
8/24/2021 3:55:00 PM ET,48.35,48.36,48.345,48.35,190753,48.410255000000014,48.47971600000003,48.46782299999999,48.40308499999995,30.913210480720917,-0.005878037601698256,190753,
8/24/2021 3:54:00 PM ET,48.345,48.36,48.34,48.345,280764,48.41620500000001,48.482616000000036,48.46827299999999,48.40243499999994,29.13178346907107,-0.0068771054275166416,280764,
8/24/2021 3:53:00 PM ET,48.35,48.35,48.3333,48.345,158352,48.42324000000001,48.486316000000045,48.46872299999999,48.40175999999994,29.131783469071067,-0.006972560135326648,158352,
8/24/2021 3:52:00 PM ET,48.365,48.37,48.35,48.355,139212,48.42849000000001,48.490016000000054,48.46932299999999,48.40095999999994,30.487456133822377,-0.00615245626722646,139212,
8/24/2021 3:51:00 PM ET,48.385,48.39,48.35,48.36,248798,48.43274000000001,48.49311600000006,48.469722999999995,48.39993549999995,31.16071249618255,-0.004983747395199682,248798,
8/24/2021 3:50:00 PM ET,48.4,48.4274,48.38,48.385,249862,48.435990000000004,48.49581600000005,48.470073,48.39868549999995,34.72055932252591,-0.002869883304443481,249862,
8/24/2021 3:49:00 PM ET,48.41,48.415,48.39,48.395,87393,48.43874000000001,48.498116000000046,48.470323,48.397285499999946,36.25912692284357,-0.0014793492837436237,87393,
8/24/2021 3:48:00 PM ET,48.425,48.4256,48.4,48.41,96645,48.44349000000001,48.50011600000004,48.47052299999999,48.39571049999994,38.64431165987049,0.00015768206778749017,96645,
8/24/2021 3:47:00 PM ET,48.44,48.45,48.42,48.425,86492,48.446990000000014,48.501516000000045,48.470572999999995,48.39398549999994,41.15838733198613,0.0015366029958191335,86492,
8/24/2021 3:46:00 PM ET,48.455,48.47,48.435,48.435,110889,48.44949000000001,48.50251600000004,48.47047299999999,48.39221049999995,42.88552749520347,0.0023889659326213446,110889,
8/24/2021 3:45:00 PM ET,48.45,48.47,48.44,48.455,179800,48.45249000000001,48.50321600000004,48.47037299999999,48.39036049999995,46.510145505148124,0.0028446195486926083,179800,
8/24/2021 3:44:00 PM ET,48.445,48.45,48.4373,48.45,49507,48.455740000000006,48.504316000000046,48.46992299999999,48.38828549999996,45.439652231241276,0.0016197375948993238,49507,
8/24/2021 3:43:00 PM ET,48.465,48.465,48.435,48.445,47593,48.459740000000004,48.50571600000005,48.469373,48.38623449999996,44.406530197751714,0.0003718808164168627,47593,
8/24/2021 3:42:00 PM ET,48.455,48.48,48.455,48.465,102530,48.46649000000001,48.50701600000005,48.468823,48.38430949999995,47.76598281490251,-0.0008023750923517002,102530,
8/24/2021 3:41:00 PM ET,48.415,48.46,48.415,48.455,225643,48.473490000000005,48.50791600000005,48.468023,48.382309499999955,45.8645147536555,-0.004305095916383308,225643,
8/24/2021 3:40:00 PM ET,48.405,48.42,48.39,48.42,66850,48.480740000000004,48.508916000000056,48.46732300000001,48.38035449999996,38.600365587620985,-0.008178194113929092,66850,
8/24/2021 3:39:00 PM ET,48.39,48.415,48.385,48.4,107689,48.491240000000005,48.51041600000005,48.46702300000001,48.37853949999996,33.893589204002254,-0.009788481075090404,107689,
8/24/2021 3:38:00 PM ET,48.45,48.45,48.39,48.39,56695,48.50274,48.51231600000005,48.46672300000001,48.376814499999966,31.453950401069953,-0.009210888632796038,56695,
8/24/2021 3:37:00 PM ET,48.475,48.475,48.44,48.45,63529,48.514990000000004,48.51431600000004,48.46652300000001,48.37516399999997,39.59519982102314,-0.006244718077698826,63529,
8/24/2021 3:36:00 PM ET,48.47,48.5,48.47,48.4701,81650,48.523740000000004,48.51501600000005,48.46539200000001,48.37298899999996,43.06235919734462,-0.006876526302264497,81650,
8/24/2021 3:35:00 PM ET,48.48,48.48,48.455,48.469,78084,48.530485000000006,48.51531400000005,48.46399100000001,48.37073849999996,42.80786403731979,-0.009156066594070257,78084,
8/24/2021 3:34:00 PM ET,48.45,48.4857,48.45,48.4857,44497,48.537035,48.515234000000056,48.46265100000001,48.36861849999997,45.68664363066504,-0.011740296137115986,44497,
8/24/2021 3:33:00 PM ET,48.445,48.47,48.445,48.45,47128,48.54025,48.51402000000005,48.461144000000004,48.36628999999997,37.31934110354207,-0.01644016639319424,47128,
8/24/2021 3:32:00 PM ET,48.425,48.4499,48.42,48.44,54474,48.545249999999996,48.51362000000005,48.45999600000001,48.36413999999997,34.70284438645945,-0.01882978444234088,54474,
8/24/2021 3:31:00 PM ET,48.44,48.445,48.42,48.425,35575,48.54879999999999,48.51382000000005,48.45899600000001,48.362089999999974,30.6719422907837,-0.020010150838651753,35575,
8/24/2021 3:30:00 PM ET,48.48,48.485,48.44,48.44,114490,48.55305,48.51452000000005,48.45799600000001,48.36008999999997,32.53703888652783,-0.018721870670041232,114490,
8/24/2021 3:29:00 PM ET,48.475,48.49,48.47,48.49,50268,48.55555,48.514920000000046,48.456851000000015,48.35798999999997,40.08085492693801,-0.01673003382634595,50268,
8/24/2021 3:28:00 PM ET,48.475,48.48,48.47,48.48,62681,48.554050000000004,48.513920000000056,48.455601000000016,48.35561499999997,37.38473894449781,-0.017414010171339867,62681,
8/24/2021 3:27:00 PM ET,48.5,48.51,48.47,48.475,159466,48.55455,48.51292000000005,48.45436200000002,48.353314999999974,36.048735996595205,-0.016261665114247384,159466,
8/24/2021 3:26:00 PM ET,48.515,48.52,48.495,48.495,46950,48.5558,48.51202000000005,48.45326200000002,48.35111499999997,39.15151699409174,-0.012848345261945535,46950,
8/24/2021 3:25:00 PM ET,48.525,48.535,48.515,48.52,50191,48.55655,48.51152000000005,48.45206200000001,48.348814999999966,43.49708515309576,-0.008717808428992887,50191,
8/24/2021 3:24:00 PM ET,48.58,48.58,48.53,48.53,34944,48.5553,48.51052000000004,48.45036200000001,48.34628999999996,45.3674110006005,-0.004344259749339642,34944,
8/24/2021 3:23:00 PM ET,48.6,48.61,48.57,48.58,139078,48.5553,48.50972000000004,48.448762000000016,48.34363999999996,56.683589397380864,0.0015467871836953168,139078,
8/24/2021 3:22:00 PM ET,48.61,48.61,48.6,48.605,166845,48.5528,48.507720000000035,48.446463000000016,48.34088949999996,64.10783288273106,0.00527770327839408,166845,
8/24/2021 3:21:00 PM ET,48.63,48.63,48.6,48.6,127941,48.548049999999996,48.50542000000003,48.44396300000001,48.337989499999956,63.21301560005105,0.00780126777923108,127941,
8/24/2021 3:20:00 PM ET,48.635,48.645,48.63,48.63,35377,48.54279999999999,48.50265400000003,48.44146300000001,48.33503949999996,73.40958333159075,0.011261233036260962,35377,
8/24/2021 3:19:00 PM ET,48.635,48.635,48.62,48.63,80783,48.5363,48.49925400000003,48.43866300000001,48.331914499999954,73.40958333159075,0.01239053610655294,80783,
8/24/2021 3:18:00 PM ET,48.62,48.6399,48.62,48.635,79310,48.52954999999999,48.495192000000024,48.435913000000006,48.32892399999996,75.15165259198794,0.012802418187706138,79310,
8/24/2021 3:17:00 PM ET,48.605,48.635,48.6,48.625,199669,48.5218,48.49069200000002,48.432863000000005,48.32602399999996,74.00606031375098,0.011571204957060498,199669,
8/24/2021 3:16:00 PM ET,48.605,48.61,48.59,48.605,56998,48.5143,48.48619200000002,48.429863000000005,48.32304899999996,71.57204381948739,0.009395309015287762,56998,
8/24/2021 3:15:00 PM ET,48.56,48.609,48.555,48.6,88399,48.507549999999995,48.48119200000002,48.42716300000001,48.32012399999997,70.94036414450345,0.006954457699387804,88399,
